species	code	habitat
Rhinella chrysophora	1.9	Forest - Subtropical/Tropical Moist Montane
Rhinella chrysophora	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Hogna cinica	1.6	Forest - Subtropical/Tropical Moist Lowland
Hogna cinica	6	Rocky areas (eg. inland cliffs, mountain peaks)
Matucana ritteri	3.5	Shrubland - Subtropical/Tropical Dry
Varronia bellonis	1.6	Forest - Subtropical/Tropical Moist Lowland
Aristogeitonia gabonica	1.7	Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level
Dypsis vonitrandambo	1.6	Forest - Subtropical/Tropical Moist Lowland
Ctenitis squamigera	1.6	Forest - Subtropical/Tropical Moist Lowland
Mimosa perplicata	4.7	Grassland - Subtropical/Tropical High Altitude
Mimosa perplicata	6	Rocky areas (eg. inland cliffs, mountain peaks)
Gasteranthus atratus	1.6	Forest - Subtropical/Tropical Moist Lowland
Gasteranthus atratus	1.9	Forest - Subtropical/Tropical Moist Montane
Wollastonaria vermetiformis	3.5	Shrubland - Subtropical/Tropical Dry
Wollastonaria vermetiformis	6	Rocky areas (eg. inland cliffs, mountain peaks)
Paraclinus walkeri	12.5	Marine Intertidal - Salt Marshes (Emergent Grasses)
Paraclinus walkeri	12.6	Marine Intertidal - Tidepools
Paraclinus walkeri	9.2	Marine Neritic - Subtidal Rock and Rocky Reefs
Paraclinus walkeri	9.3	Marine Neritic - Subtidal Loose Rock/pebble/gravel
Paraclinus walkeri	9.4	Marine Neritic - Subtidal Sandy
Oxychilus agostinhoi	1.4	Forest - Temperate
Oxychilus agostinhoi	14.3	Artificial/Terrestrial - Plantations
Haplochromis crocopeplus	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Hadziella rudnicae	5.18	Wetlands (inland) - Karst and Other Subterranean Hydrological Systems (inland)
Grevillea tenuiloba	3.5	Shrubland - Subtropical/Tropical Dry
Grevillea tenuiloba	6	Rocky areas (eg. inland cliffs, mountain peaks)
Adenomus dasi	1.9	Forest - Subtropical/Tropical Moist Montane
Adenomus dasi	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Badula platyphylla	1.5	Forest - Subtropical/Tropical Dry
Solanum lidii	3.8	Shrubland - Mediterranean-type Shrubby Vegetation
Solanum lidii	6	Rocky areas (eg. inland cliffs, mountain peaks)
Pelophryne murudensis	1.9	Forest - Subtropical/Tropical Moist Montane
Xenopoecilus sarasinorum	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Elaeocarpus occidentalis	1.5	Forest - Subtropical/Tropical Dry
Opuntia chaffeyi	3.5	Shrubland - Subtropical/Tropical Dry
