species	code	habitat
Falco concolor	6	Rocky areas (eg. inland cliffs, mountain peaks)
Falco concolor	8.1	Desert - Hot
Cecilioides connollyi	4.4	Grassland - Temperate
Cecilioides connollyi	6	Rocky areas (eg. inland cliffs, mountain peaks)
Glyptorhagada kooringensis	6	Rocky areas (eg. inland cliffs, mountain peaks)
Coracopsis barklyi	14.1	Artificial/Terrestrial - Arable Land
Coracopsis barklyi	14.4	Artificial/Terrestrial - Rural Gardens
Coracopsis barklyi	14.5	Artificial/Terrestrial - Urban Areas
Coracopsis barklyi	1.6	Forest - Subtropical/Tropical Moist Lowland
Coracopsis barklyi	3.6	Shrubland - Subtropical/Tropical Moist
Gentianella chrysantha	4.7	Grassland - Subtropical/Tropical High Altitude
Barleria bornuensis	2.1	Savanna - Dry
Engaeus yabbimunna	14.2	Artificial/Terrestrial - Pastureland
Engaeus yabbimunna	15.9	Artificial/Aquatic - Canals and Drainage Channels, Ditches
Engaeus yabbimunna	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Engaeus yabbimunna	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Impatiens ioides	1.6	Forest - Subtropical/Tropical Moist Lowland
Impatiens ioides	1.9	Forest - Subtropical/Tropical Moist Montane
Persea nudigemma	1.9	Forest - Subtropical/Tropical Moist Montane
Cedrela fissilis	1.6	Forest - Subtropical/Tropical Moist Lowland
Ceblepyris cucullatus	1.6	Forest - Subtropical/Tropical Moist Lowland
Ceblepyris cucullatus	1.9	Forest - Subtropical/Tropical Moist Montane
Pachyramphus spodiurus	14.3	Artificial/Terrestrial - Plantations
Pachyramphus spodiurus	14.6	Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest
Pachyramphus spodiurus	1.6	Forest - Subtropical/Tropical Moist Lowland
Pachyramphus spodiurus	3.6	Shrubland - Subtropical/Tropical Moist
Miconia laxa	1.9	Forest - Subtropical/Tropical Moist Montane
Diplobatis ommata	10.1	Marine Oceanic - Epipelagic (0-200m)
Sitta whiteheadi	1.5	Forest - Subtropical/Tropical Dry
Scutellaria alborosea	1.9	Forest - Subtropical/Tropical Moist Montane
Damasonium alisma	15.2	Artificial/Aquatic - Ponds (below 8ha)
Damasonium alisma	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Damasonium alisma	5.6	Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha)
Damasonium alisma	5.7	Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)
Damasonium alisma	5.8	Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)
Didelotia gracillima	1.6	Forest - Subtropical/Tropical Moist Lowland
Placostylus elobatus	1.6	Forest - Subtropical/Tropical Moist Lowland
Placostylus elobatus	1.9	Forest - Subtropical/Tropical Moist Montane
Agalychnis litodryas	1.6	Forest - Subtropical/Tropical Moist Lowland
Agalychnis litodryas	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Valvata hirsutecostata	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Schistura chindwinica	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Eupholidoptera latens	3.4	Shrubland - Temperate
Eupholidoptera latens	3.8	Shrubland - Mediterranean-type Shrubby Vegetation
Drosera orbiculata	1.4	Forest - Temperate
Scolopia taimbarina	1.6	Forest - Subtropical/Tropical Moist Lowland
Ochna macrantha	1.5	Forest - Subtropical/Tropical Dry
Seychellaria thomassetii	1.6	Forest - Subtropical/Tropical Moist Lowland
Neohygrocybe nitrata	4.2	Grassland - Subarctic
Neohygrocybe nitrata	4.4	Grassland - Temperate
Galanthus reginae-olgae	1.4	Forest - Temperate
Galanthus reginae-olgae	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Grallaricula cumanensis	1.6	Forest - Subtropical/Tropical Moist Lowland
Grallaricula cumanensis	1.9	Forest - Subtropical/Tropical Moist Montane
Rhizothera dulitensis	1.5	Forest - Subtropical/Tropical Dry
Rhizothera dulitensis	1.6	Forest - Subtropical/Tropical Moist Lowland
Rhizothera dulitensis	1.9	Forest - Subtropical/Tropical Moist Montane
Bolitoglossa franklini	1.4	Forest - Temperate
Bolitoglossa franklini	1.9	Forest - Subtropical/Tropical Moist Montane
Tsoukatosia liae	7.1	Caves and Subterranean Habitats (non-aquatic) - Caves
Tsoukatosia liae	7.2	Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats
Etlingera facifera	1.9	Forest - Subtropical/Tropical Moist Montane
Boswellia ameero	1.5	Forest - Subtropical/Tropical Dry
Paramesotriton qixilingensis	1.6	Forest - Subtropical/Tropical Moist Lowland
Paramesotriton qixilingensis	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Rhinobatos penggali	10.1	Marine Oceanic - Epipelagic (0-200m)
Rhinobatos penggali	13.4	Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes
Rhinobatos penggali	9.1	Marine Neritic - Pelagic
Rhinobatos penggali	9.9	Marine Neritic - Seagrass (Submerged)
Mantella crocea	1.6	Forest - Subtropical/Tropical Moist Lowland
Mantella crocea	1.8	Forest - Subtropical/Tropical Swamp
Mantella crocea	1.9	Forest - Subtropical/Tropical Moist Montane
Mantella crocea	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Iglica tellinii	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Iglica tellinii	5.18	Wetlands (inland) - Karst and Other Subterranean Hydrological Systems (inland)
Grevillea synapheae	1.4	Forest - Temperate
Grevillea synapheae	3.8	Shrubland - Mediterranean-type Shrubby Vegetation
Bulimulus darwini	1.5	Forest - Subtropical/Tropical Dry
Bulimulus darwini	3.5	Shrubland - Subtropical/Tropical Dry
Acanthodrilus kermadecensis	17	Other
Tepuihyla luteolabris	4.7	Grassland - Subtropical/Tropical High Altitude
Tepuihyla luteolabris	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Calycosiphonia macrochlamys	1.6	Forest - Subtropical/Tropical Moist Lowland
Brachystephanus glaberrimus	1.8	Forest - Subtropical/Tropical Swamp
Brachystephanus glaberrimus	1.9	Forest - Subtropical/Tropical Moist Montane
Brachystephanus glaberrimus	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Croton lichenisilvae	1.6	Forest - Subtropical/Tropical Moist Lowland
Tricholoma acerbum	1.4	Forest - Temperate
Silene alpicola	4.4	Grassland - Temperate
Silene alpicola	6	Rocky areas (eg. inland cliffs, mountain peaks)
Stoliczia perlensis	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Stoliczia perlensis	6	Rocky areas (eg. inland cliffs, mountain peaks)
Saxicolella laciniata	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Saxicolella laciniata	5.2	Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks
Psophia viridis	1.6	Forest - Subtropical/Tropical Moist Lowland
Afrixalus sylvaticus	14.3	Artificial/Terrestrial - Plantations
Afrixalus sylvaticus	14.6	Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest
Afrixalus sylvaticus	1.5	Forest - Subtropical/Tropical Dry
Afrixalus sylvaticus	1.6	Forest - Subtropical/Tropical Moist Lowland
Afrixalus sylvaticus	5.8	Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)
Cryptocarya krameri	1.5	Forest - Subtropical/Tropical Dry
Cryptocarya krameri	1.6	Forest - Subtropical/Tropical Moist Lowland
Sarracenia leucophylla	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Cestrum guatemalense	1.6	Forest - Subtropical/Tropical Moist Lowland
Cestrum guatemalense	1.9	Forest - Subtropical/Tropical Moist Montane
Avahi laniger	1.6	Forest - Subtropical/Tropical Moist Lowland
Avahi laniger	1.9	Forest - Subtropical/Tropical Moist Montane
Neobuxbaumia polylopha	1.5	Forest - Subtropical/Tropical Dry
Quercus furfuracea	1.5	Forest - Subtropical/Tropical Dry
Quercus furfuracea	1.9	Forest - Subtropical/Tropical Moist Montane
Myristica millepunctata	1.9	Forest - Subtropical/Tropical Moist Montane
Clytoctantes atrogularis	1.6	Forest - Subtropical/Tropical Moist Lowland
Carpathica elisabethae	1.4	Forest - Temperate
Pentopetia boivinii	1.6	Forest - Subtropical/Tropical Moist Lowland
Columnea ovatifolia	1.9	Forest - Subtropical/Tropical Moist Montane
Aborichthys tikaderi	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Percina burtoni	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Barbodes lindog	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Aiouea areolata	1.4	Forest - Temperate
Aiouea areolata	1.5	Forest - Subtropical/Tropical Dry
Aiouea areolata	1.9	Forest - Subtropical/Tropical Moist Montane
Varanus olivaceus	1.6	Forest - Subtropical/Tropical Moist Lowland
Enyalioides rubrigularis	14.2	Artificial/Terrestrial - Pastureland
Enyalioides rubrigularis	1.9	Forest - Subtropical/Tropical Moist Montane
Coregonus clupeoides	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Rhopalocarpus excelsus	1.6	Forest - Subtropical/Tropical Moist Lowland
Mico munduruku	1.6	Forest - Subtropical/Tropical Moist Lowland
Phymeurus machadoi	4.7	Grassland - Subtropical/Tropical High Altitude
Scytalopus panamensis	1.9	Forest - Subtropical/Tropical Moist Montane
Nepenthes pitopangii	1.9	Forest - Subtropical/Tropical Moist Montane
Opisthostoma bihamulatum	1.6	Forest - Subtropical/Tropical Moist Lowland
Prietella lundbergi	5.18	Wetlands (inland) - Karst and Other Subterranean Hydrological Systems (inland)
Sylvichadsia grandifolia	1.6	Forest - Subtropical/Tropical Moist Lowland
Naultinus punctatus	1.4	Forest - Temperate
Naultinus punctatus	14.5	Artificial/Terrestrial - Urban Areas
Naultinus punctatus	3.4	Shrubland - Temperate
Munnozia liaboides	1.9	Forest - Subtropical/Tropical Moist Montane
Munnozia liaboides	4.7	Grassland - Subtropical/Tropical High Altitude
